subsample,mcc,f1,precision,recall,roc_auc,vs,alpha
alpha_10_idx_2,0.6295464632626331,0.8368915456874466,0.8333333333333334,0.8404802744425386,0.8144086037439474,42.36204969411056,10
alpha_10_idx_3,0.6298479575967215,0.8344141807176827,0.8413251961639059,0.8276157804459692,0.8155357519940429,41.89943211470747,10
alpha_1_idx_1,0.6329444391340371,0.8396946564885497,0.8305369127516778,0.8490566037735849,0.8154570275887362,29.0637241180812,1
alpha_100_idx_3,0.6402927381593921,0.8447986577181208,0.8267651888341544,0.8636363636363636,0.8178872962890242,42.23270525836314,100
alpha_10_idx_1,0.5953118917530279,0.8346394984326019,0.7683982683982684,0.9133790737564322,0.7833634029689288,40.77482204321009,10
alpha_1000_idx_1,0.6402637643112069,0.8450586264656617,0.82569558101473,0.8653516295025729,0.8176650156152174,42.46382987405022,1000
alpha_0_01_idx_3,0.6233808567729524,0.8437500000000001,0.7917293233082707,0.9030874785591767,0.8019757047223529,8.810501531372692,0.01
alpha_1_idx_2,0.6413332897943907,0.8473314025651634,0.8185451638689049,0.8782161234991424,0.8165378673651218,26.742814429553615,1
alpha_100_idx_2,0.6919738556570507,0.8565082185695246,0.8884792626728111,0.8267581475128645,0.8480443005382897,42.372671618394776,100
alpha_inf_idx_2,0.6716249858072021,0.8573839662447257,0.8438538205980066,0.8713550600343053,0.8341656509674766,43.77923979483535,inf
alpha_100_idx_1,0.6653425440873487,0.8528784648187634,0.8481764206955047,0.8576329331046312,0.832164198733741,41.0264544016782,100
alpha_inf_idx_3,0.6698000185980945,0.8560541913632514,0.8453177257525084,0.8670668953687821,0.8336414390450821,42.311102025241894,inf
alpha_1000_idx_2,0.6652852349225994,0.8372093023255813,0.8938656280428432,0.7873070325900514,0.8347982247183519,40.88155173576922,1000
alpha_0_1_idx_1,0.654072323888608,0.8499156829679594,0.835820895522388,0.8644939965694682,0.8253355512005008,8.751802312073396,0.1
alpha_0_01_idx_2,0.669845482021563,0.8516912402428448,0.8614035087719298,0.8421955403087479,0.8357845952083696,8.42884902837399,0.01
alpha_0_01_idx_1,0.66468904004885,0.8552245069240453,0.8373048479868529,0.8739279588336192,0.8300525323325764,12.809857865035188,0.01
alpha_0_1_idx_3,0.6621451959999468,0.8522920203735144,0.8436974789915966,0.8610634648370498,0.8300997669757604,18.217655212962526,0.1
alpha_inf_idx_1,0.6249790509783176,0.8416735028712059,0.8066037735849056,0.8799313893653516,0.8071363210325678,42.12518033568915,inf
alpha_1_idx_3,0.670253485998135,0.84366576819407,0.8858490566037736,0.8053173241852487,0.8373238888744818,29.666980490335277,1
alpha_1000_idx_3,0.661398339807691,0.8283582089552237,0.9079754601226994,0.7615780445969125,0.8321929099874411,41.61326489845395,1000
alpha_0_1_idx_2,0.6579199035159256,0.8518518518518519,0.8363636363636363,0.8679245283018868,0.8270508170667101,21.20190529122967,0.1
