,subsample,alpha,vs,normalized_vs,quintile,decile
0,alpha_0_001_idx_1,0.001,1.849858378727984,0.026,1,1
1,alpha_0_001_idx_2,0.001,1.7858124951578418,0.025,1,1
2,alpha_0_001_idx_3,0.001,1.4331284715060881,0.02,1,1
3,alpha_0_01_idx_1,0.01,1.524719800291154,0.022,1,1
4,alpha_0_01_idx_2,0.01,4.745549637461081,0.067,1,1
5,alpha_0_01_idx_3,0.01,3.5318441062435704,0.05,1,1
6,alpha_0_1_idx_1,0.1,12.946490578406452,0.183,2,2
7,alpha_0_1_idx_2,0.1,9.135468090118104,0.129,1,2
8,alpha_0_1_idx_3,0.1,10.942116273558131,0.155,2,2
9,alpha_0_5_idx_1,0.5,34.98110788307875,0.496,2,5
10,alpha_0_5_idx_2,0.5,27.63543029563792,0.392,2,4
11,alpha_0_5_idx_3,0.5,39.420015061030035,0.558,2,6
12,alpha_1_idx_1,1.0,41.532408139348234,0.588,3,6
13,alpha_1_idx_2,1.0,49.02899392458854,0.695,3,7
14,alpha_1_idx_3,1.0,39.44161236144125,0.559,2,6
15,alpha_1_5_idx_1,1.5,48.52596438687978,0.688,3,7
16,alpha_1_5_idx_2,1.5,53.24399282051463,0.754,3,8
17,alpha_1_5_idx_3,1.5,52.14205557524021,0.739,3,8
18,alpha_2_idx_1,2.0,52.34608961404901,0.742,3,8
19,alpha_2_idx_2,2.0,51.0341933795706,0.723,3,8
20,alpha_2_idx_3,2.0,54.13479932725028,0.767,4,8
21,alpha_5_idx_1,5.0,60.49680141861594,0.857,4,9
22,alpha_5_idx_2,5.0,59.549623445994776,0.844,4,9
23,alpha_5_idx_3,5.0,59.019449285875545,0.836,4,9
24,alpha_10_idx_1,10.0,62.41037039783173,0.884,4,9
25,alpha_10_idx_2,10.0,62.677881036637906,0.888,5,9
26,alpha_10_idx_3,10.0,61.41522565838818,0.87,4,9
27,alpha_100_idx_1,100.0,64.2910417710644,0.911,5,10
28,alpha_100_idx_2,100.0,64.62205542712296,0.916,5,10
29,alpha_100_idx_3,100.0,62.97248957384165,0.892,5,9
30,alpha_inf_idx_1,inf,70.583,1.0,5,10
31,alpha_inf_idx_2,inf,70.583,1.0,5,10
32,alpha_inf_idx_3,inf,70.583,1.0,5,10
