,subsample,alpha,vs,normalized_vs,quintile
0,alpha_0_001_idx_1,0.001,1.6518727086139675,0.194,1
1,alpha_0_001_idx_2,0.001,1.6518727086139675,0.194,1
2,alpha_0_001_idx_3,0.001,1.6593286470617505,0.195,1
3,alpha_0_01_idx_1,0.01,1.1098613471237468,0.131,1
4,alpha_0_01_idx_2,0.01,1.0140860705133095,0.119,1
5,alpha_0_01_idx_3,0.01,1.014491508665908,0.119,1
6,alpha_0_1_idx_1,0.1,1.657499269148058,0.195,1
7,alpha_0_1_idx_2,0.1,2.4212549971212614,0.285,2
8,alpha_0_1_idx_3,0.1,1.1813906601971271,0.139,1
9,alpha_0_5_idx_1,0.5,4.838856277547172,0.569,2
10,alpha_0_5_idx_2,0.5,3.164178044979226,0.372,2
11,alpha_0_5_idx_3,0.5,5.280750092560557,0.621,2
12,alpha_1_idx_1,1.0,6.5708014279134375,0.773,3
13,alpha_1_idx_2,1.0,6.237168560092815,0.734,3
14,alpha_1_idx_3,1.0,5.427996262600889,0.639,2
15,alpha_1_5_idx_1,1.5,5.825349572489013,0.685,3
16,alpha_1_5_idx_2,1.5,6.598999062492966,0.776,3
17,alpha_1_5_idx_3,1.5,6.838817285643298,0.805,3
18,alpha_2_idx_1,2.0,7.809384668289818,0.919,4
19,alpha_2_idx_2,2.0,6.269231171290196,0.738,3
20,alpha_2_idx_3,2.0,6.84776977859194,0.806,3
21,alpha_5_idx_1,5.0,7.836617988102876,0.922,4
22,alpha_5_idx_2,5.0,7.145516076190164,0.841,4
23,alpha_5_idx_3,5.0,8.121761092948567,0.956,4
24,alpha_10_idx_1,10.0,8.203564596808944,0.965,4
25,alpha_10_idx_2,10.0,8.102642852376666,0.953,4
26,alpha_10_idx_3,10.0,8.268190490691657,0.973,5
27,alpha_100_idx_1,100.0,8.391983718104536,0.987,5
28,alpha_100_idx_2,100.0,8.352509514132986,0.983,5
29,alpha_100_idx_3,100.0,8.415600679630275,0.99,5
30,alpha_inf_idx_1,inf,8.499,1.0,5
31,alpha_inf_idx_2,inf,8.499,1.0,5
32,alpha_inf_idx_3,inf,8.499,1.0,5
